Art.nM,t.min,Abs,Date,Annotation
4,90,0.4692,20120712,4 nM PLATE0910 man pipette
4,C,0.7754,20120712,4 nM PLATE0910 man pipette
LB,LB,0.0904,20120712,4 nM PLATE0910 man pipette
no C,no C,0.3616,20120712,4 nM PLATE0910 man pipette
no D,no D,0.0408,20120712,4 nM PLATE0910 man pipette
4,0,0.4292,20120711,4 nM PLATE0910 man pipette
4,5,0.7746,20120711,4 nM PLATE0910 man pipette
4,10,0.8263,20120711,4 nM PLATE0910 man pipette
4,20,0.942,20120711,4 nM PLATE0910 man pipette
4,30,0.8649,20120711,4 nM PLATE0910 man pipette
4,40,0.8105,20120711,4 nM PLATE0910 man pipette
4,50,0.8507,20120711,4 nM PLATE0910 man pipette
4,60,0.7944,20120711,4 nM PLATE0910 man pipette
4,70,0.7137,20120711,4 nM PLATE0910 man pipette
4,80,0.6649,20120711,4 nM PLATE0910 man pipette
4,90,0.6209,20120711,4 nM PLATE0910 man pipette
4,C,0.8472,20120711,4 nM PLATE0910 man pipette
LB,LB,0.1163,20120711,4 nM PLATE0910 man pipette
no C,no C,0.4519,20120711,4 nM PLATE0910 man pipette
no D,no D,0.0437,20120711,4 nM PLATE0910 man pipette
4,0,0.3017,20120526,4/0.4 nM
4,5,0.3835,20120526,4/0.4 nM
4,10,0.4177,20120526,4/0.4 nM
4,20,0.4803,20120526,4/0.4 nM
4,30,0.4253,20120526,4/0.4 nM
4,40,0.4663,20120526,4/0.4 nM
4,50,0.4659,20120526,4/0.4 nM
4,60,0.4506,20120526,4/0.4 nM
4,70,0.5024,20120526,4/0.4 nM
4,80,0.4836,20120526,4/0.4 nM
4,90,0.4406,20120526,4/0.4 nM
4,C1,0.4509,20120526,4/0.4 nM
LB,LB,0.1647,20120526,4/0.4 nM
no C,no C,0.1435,20120526,4/0.4 nM
no D,no D,0.0505,20120526,4/0.4 nM
4,0,0.5192,20110727,4nM/1nM
4,5,0.331,20110727,4nM/1nM
4,10,0.3847,20110727,4nM/1nM
4,20,0.5017,20110727,4nM/1nM
4,30,0.4461,20110727,4nM/1nM
4,40,0.4618,20110727,4nM/1nM
4,50,0.4955,20110727,4nM/1nM
4,60,0.4416,20110727,4nM/1nM
4,70,0.4293,20110727,4nM/1nM
4,80,0.3688,20110727,4nM/1nM
4,90,0.3241,20110727,4nM/1nM
4,C1,0.5089,20110727,4nM/1nM
LB,LB,0.1463,20110727,4nM/1nM
no C,no C,0.1397,20110727,4nM/1nM
no D,no D,0.0522,20110727,4nM/1nM
4,0,0.1708,20110705,4 nM
4,5,0.6597,20110705,4 nM
4,10,1.0162,20110705,4 nM
4,20,0.9516,20110705,4 nM
4,30,0.7428,20110705,4 nM
4,40,0.9081,20110705,4 nM
4,50,0.7353,20110705,4 nM
4,60,0.3481,20110705,4 nM
4,70,0.387,20110705,4 nM
4,80,0.6734,20110705,4 nM
4,90,0.5555,20110705,4 nM
LB,no C,0.1176,20110705,4 nM
no C,no D,0.0496,20110705,4 nM
no D,LB,0.0869,20110705,4 nM
4,0,0.2856,20110706,4 nM
4,5,0.4922,20110706,4 nM
4,10,0.5654,20110706,4 nM
4,20,0.4757,20110706,4 nM
4,30,0.4969,20110706,4 nM
4,40,0.4163,20110706,4 nM
4,50,0.4277,20110706,4 nM
4,60,0.3295,20110706,4 nM
4,70,0.376,20110706,4 nM
4,80,0.4162,20110706,4 nM
4,90,0.3252,20110706,4 nM
LB,no C,0.1302,20110706,4 nM
no C,no D,0.0495,20110706,4 nM
no D,LB,0.1468,20110706,4 nM
4,0,0.3241,20120712,4 nM PLATE0910 man pipette
4,5,0.7249,20120712,4 nM PLATE0910 man pipette
4,10,0.8636,20120712,4 nM PLATE0910 man pipette
4,20,0.9133,20120712,4 nM PLATE0910 man pipette
4,30,0.826,20120712,4 nM PLATE0910 man pipette
4,40,0.7181,20120712,4 nM PLATE0910 man pipette
4,50,0.6689,20120712,4 nM PLATE0910 man pipette
4,60,0.6555,20120712,4 nM PLATE0910 man pipette
4,70,0.5745,20120712,4 nM PLATE0910 man pipette
4,80,0.5515,20120712,4 nM PLATE0910 man pipette
4,90,0.4783,20120712,4 nM PLATE0910 man pipette
4,C,0.7682,20120712,4 nM PLATE0910 man pipette
LB,LB,0.1002,20120712,4 nM PLATE0910 man pipette
no C,no C,0.3523,20120712,4 nM PLATE0910 man pipette
no D,no D,0.04,20120712,4 nM PLATE0910 man pipette
4,0,0.4254,20120711,4 nM PLATE0910 man pipette
4,5,0.7723,20120711,4 nM PLATE0910 man pipette
4,10,0.7924,20120711,4 nM PLATE0910 man pipette
4,20,0.9188,20120711,4 nM PLATE0910 man pipette
4,30,0.8642,20120711,4 nM PLATE0910 man pipette
4,40,0.7727,20120711,4 nM PLATE0910 man pipette
4,50,0.8239,20120711,4 nM PLATE0910 man pipette
4,60,0.7699,20120711,4 nM PLATE0910 man pipette
4,70,0.7617,20120711,4 nM PLATE0910 man pipette
4,80,0.6979,20120711,4 nM PLATE0910 man pipette
4,90,0.6032,20120711,4 nM PLATE0910 man pipette
4,C,0.821,20120711,4 nM PLATE0910 man pipette
LB,LB,0.1136,20120711,4 nM PLATE0910 man pipette
no C,no C,0.4886,20120711,4 nM PLATE0910 man pipette
no D,no D,0.0412,20120711,4 nM PLATE0910 man pipette
4,0,0.2998,20120526,4/0.4 nM
4,5,0.3602,20120526,4/0.4 nM
4,10,0.3961,20120526,4/0.4 nM
4,20,0.5032,20120526,4/0.4 nM
4,30,0.452,20120526,4/0.4 nM
4,40,0.44,20120526,4/0.4 nM
4,50,0.4709,20120526,4/0.4 nM
4,60,0.4747,20120526,4/0.4 nM
4,70,0.4888,20120526,4/0.4 nM
4,80,0.4843,20120526,4/0.4 nM
4,90,0.4434,20120526,4/0.4 nM
4,C1,0.4706,20120526,4/0.4 nM
LB,LB,0.155,20120526,4/0.4 nM
no C,no C,0.1387,20120526,4/0.4 nM
no D,no D,0.0473,20120526,4/0.4 nM
4,0,0.2574,20110727,4nM/1nM
4,5,0.3227,20110727,4nM/1nM
4,10,0.4152,20110727,4nM/1nM
4,20,0.528,20110727,4nM/1nM
4,30,0.4158,20110727,4nM/1nM
4,40,0.4471,20110727,4nM/1nM
4,50,0.4612,20110727,4nM/1nM
4,60,0.4307,20110727,4nM/1nM
4,70,0.3837,20110727,4nM/1nM
4,80,0.3567,20110727,4nM/1nM
4,90,0.3,20110727,4nM/1nM
4,C1,0.4455,20110727,4nM/1nM
LB,LB,0.1367,20110727,4nM/1nM
no C,no C,0.1418,20110727,4nM/1nM
no D,no D,0.0524,20110727,4nM/1nM
